,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
7217.0,oneapi-src/oneDNN,C++,git,https://github.com/oneapi-src/oneDNN.git,3445.0,6151985,,,
7247.0,KratosMultiphysics/Kratos,C++,git,https://github.com/KratosMultiphysics/Kratos.git,954.0,6151985,,,
5709.0,ddemidov/vexcl,C++,git,https://github.com/ddemidov/vexcl.git,694.0,-1358015,,,
6413.0,kthohr/stats,C++,git,https://github.com/kthohr/stats.git,498.0,24.10.9516,,,
7282.0,libocca/occa,C++,git,https://github.com/libocca/occa.git,378.0,6091985,,,
7281.0,alpaka-group/alpaka,C++,git,https://github.com/alpaka-group/alpaka.git,320.0,6151985,,,
7609.0,sbeamer/gapbs,C++,git,https://github.com/sbeamer/gapbs.git,301.0,5321985,,,
6027.0,nanoant/DisableTurboBoost.kext,C,git,https://github.com/nanoant/DisableTurboBoost.kext.git,265.0,-2448015,,,
7259.0,zjin-lcf/HeCBench,C++,git,https://github.com/zjin-lcf/HeCBench.git,171.0,6111985,,,
7143.0,parallel-runtimes/lomp,C++,git,https://github.com/parallel-runtimes/lomp.git,148.0,29.08.3438,,,
7894.0,UoB-HPC/openmp-tutorial,C,git,https://github.com/UoB-HPC/openmp-tutorial.git,111.0,4611985,,,
7264.0,intel/yask,C++,git,https://github.com/intel/yask.git,102.0,6111985,,,
5922.0,prip-lab/MSU-LatentAFIS,C++,git,https://github.com/prip-lab/MSU-LatentAFIS.git,93.0,-2138015,,,
5833.0,yzhaiustc/Optimizing-DGEMM-on-Intel-CPUs-with-AVX512F,C,git,https://github.com/yzhaiustc/Optimizing-DGEMM-on-Intel-CPUs-with-AVX512F.git,87.0,-1868015,,,
7224.0,csc-training/summerschool,C++,git,https://github.com/csc-training/summerschool.git,78.0,6151985,,,
816.0,lagodiuk/raytracing-render,C,git,https://github.com/lagodiuk/raytracing-render.git,73.0,-3167617,,,
7855.0,bsc-pm/mcxx,C,git,https://github.com/bsc-pm/mcxx.git,68.0,4691985,,,
5242.0,pierrebarbera/epa-ng,C++,git,https://github.com/pierrebarbera/epa-ng.git,66.0,26.09.2288,,,
3338.0,PRUNERS/archer,C,git,https://github.com/PRUNERS/archer.git,60.0,-7198015,,,
5377.0,mperlet/matrix_multiplication,C,git,https://github.com/mperlet/matrix_multiplication.git,53.0,-428015,,,
7611.0,lreis2415/SEIMS,C++,git,https://github.com/lreis2415/SEIMS.git,48.0,6121985,,,
5195.0,bprail/contech,C++,git,https://github.com/bprail/contech.git,47.0,-6578015,,,
2253.0,bsc-pm/bots,C,git,https://github.com/bsc-pm/bots.git,43.0,-10538015,,,
4305.0,GMAP/NPB-CPP,C++,git,https://github.com/GMAP/NPB-CPP.git,40.0,-3528015,,,
4309.0,bsc-pm/nanox,C++,git,https://github.com/bsc-pm/nanox.git,38.0,-3558015,,,
5409.0,kimwalisch/primesum,C++,git,https://github.com/kimwalisch/primesum.git,36.0,-528015,,,
6038.0,brightskiesinc/Reverse_Time_Migration,C++,git,https://github.com/brightskiesinc/Reverse_Time_Migration.git,33.0,-2468015,,,
3245.0,imsure/parallel-programming,C,git,https://github.com/imsure/parallel-programming.git,32.0,-6768015,,,
8150.0,feltor-dev/feltor,C++,git,https://github.com/feltor-dev/feltor.git,30.0,3651985,,,
1302.0,olcf/Serial-to-Parallel--Monte-Carlo-Pi,C,git,https://github.com/olcf/Serial-to-Parallel--Monte-Carlo-Pi.git,28.0,6312383,,,
7280.0,LLNL/mpibind,C,git,https://github.com/LLNL/mpibind.git,27.0,6091985,,,
6068.0,openmps/openmps,C++,git,https://github.com/openmps/openmps.git,26.0,-2538015,,,
6784.0,VRGroupRWTH/astray,C++,git,https://github.com/VRGroupRWTH/astray.git,25.0,15.11.6559,,,
7269.0,WitsHPC/HPC-InterestGroup,C,git,https://github.com/WitsHPC/HPC-InterestGroup.git,24.0,6101985,,,
7990.0,ECP-ExaGraph/vite,C++,git,https://github.com/ECP-ExaGraph/vite.git,23.0,4331985,,,
2849.0,arashb/tbslas,C++,git,https://github.com/arashb/tbslas.git,23.0,8462383,,,
5521.0,Foundations-of-HPC/Foundations_of_HPC_2021,C,git,https://github.com/Foundations-of-HPC/Foundations_of_HPC_2021.git,21.0,-838015,,,
7587.0,ferdikoomen/capture3,C++,git,https://github.com/ferdikoomen/capture3.git,21.0,5361985,,,
1762.0,Keylost/BilinearImageResize,C++,git,https://github.com/Keylost/BilinearImageResize.git,20.0,4342383,,,
7873.0,bsc-pm/nanos6,C++,git,https://github.com/bsc-pm/nanos6.git,20.0,4651985,,,
4506.0,digint/openmptl,C++,git,https://github.com/digint/openmptl.git,19.0,-4388015,,,
5065.0,yoch/sparse-som,C++,git,https://github.com/yoch/sparse-som.git,18.0,-6198015,,,
8151.0,tgmattso/OpenMP_Common_Core,C,git,https://github.com/tgmattso/OpenMP_Common_Core.git,18.0,3641985,,,
5674.0,nulidangxueshen/CSR2,C++,git,https://github.com/nulidangxueshen/CSR2.git,18.0,-1268015,,,
1759.0,tcoppex/cpu-gbfilter,C++,git,https://github.com/tcoppex/cpu-gbfilter.git,17.0,4342383,,,
2798.0,GoogleBot42/Tracer,C++,git,https://github.com/GoogleBot42/Tracer.git,17.0,8682383,,,
6872.0,ANL-CESAR/SimpleMOC,C,git,https://github.com/ANL-CESAR/SimpleMOC.git,16.0,14.07.5957,,,
58.0,adilansari/luDecomposition,C,git,https://github.com/adilansari/luDecomposition.git,15.0,10512781,,,
6842.0,1100110/OpenMPI,C,git,https://github.com/1100110/OpenMPI.git,14.0,09.03.6149,,,
6075.0,spectre900/Parallel-Strassen-Algorithm,C++,git,https://github.com/spectre900/Parallel-Strassen-Algorithm.git,14.0,-2548015,,,
919.0,joyeecheung/parallel-random-forest,C++,git,https://github.com/joyeecheung/parallel-random-forest.git,14.0,-4567617,,,
4667.0,csl-8bit/canny-edge-parallel,C++,git,https://github.com/csl-8bit/canny-edge-parallel.git,14.0,-4878015,,,
52.0,puneetar/Parallel-LU-Factorization-with-OpenMP-MPI,C,git,https://github.com/puneetar/Parallel-LU-Factorization-with-OpenMP-MPI.git,14.0,10612781,,,
5229.0,ema2159/Equirectangular-CubeMapTransform,C++,git,https://github.com/ema2159/Equirectangular-CubeMapTransform.git,13.0,22.05.2480,,,
2770.0,giorgospan/Game-Of-Life,C,git,https://github.com/giorgospan/Game-Of-Life.git,13.0,8822383,,,
4809.0,CPBridge/RIFeatures,C++,git,https://github.com/CPBridge/RIFeatures.git,12.0,-5428015,,,
1884.0,blackcata/Poisson_Equation,C,git,https://github.com/blackcata/Poisson_Equation.git,12.0,3862383,,,
7583.0,niksterg/openmp-course,C,git,https://github.com/niksterg/openmp-course.git,12.0,5371985,,,
7323.0,ProteinDF/ProteinDF,C++,git,https://github.com/ProteinDF/ProteinDF.git,12.0,6001985,,,
6190.0,tgmattso/ParProgCourse,C,git,https://github.com/tgmattso/ParProgCourse.git,11.0,-2948015,,,
6438.0,eth-cscs/COSTA,C++,git,https://github.com/eth-cscs/COSTA.git,11.0,5001985,,,
6508.0,atmughrabi/OpenGraph,C,git,https://github.com/atmughrabi/OpenGraph.git,11.0,28.12.9023,,,
6227.0,gerzin/parallel-cellular-automata,C++,git,https://github.com/gerzin/parallel-cellular-automata.git,10.0,3331985,,,
2142.0,lapa19/parallel-image-processing-algorithms,C,git,https://github.com/lapa19/parallel-image-processing-algorithms.git,10.0,16.07.7902,,,
872.0,tgmattso/OpenMP_Exercises,C,git,https://github.com/tgmattso/OpenMP_Exercises.git,10.0,-3717617,,,
4396.0,XiaosongAI/Parallel-SpMV,C,git,https://github.com/XiaosongAI/Parallel-SpMV.git,10.0,-3978015,,,
1012.0,Convolution-filter/convolution-filter-MPI,C,git,https://github.com/Convolution-filter/convolution-filter-MPI.git,10.0,-5757617,,,
2595.0,balos1/Shi_Tomasi_Feature_Detection,C,git,https://github.com/balos1/Shi_Tomasi_Feature_Detection.git,9.0,9432383,,,
5849.0,ilyakurdyukov/libminiomp,C,git,https://github.com/ilyakurdyukov/libminiomp.git,9.0,-1928015,,,
1111.0,Shafaet/OpenMP-Examples,C++,git,https://github.com/Shafaet/OpenMP-Examples.git,9.0,-7427617,,,
