,Code,Language,Type,URL,Stars,PushDate,build_script,expert,use_cmake,use_configure,usedHash,note
7217,oneapi-src/oneDNN,C++,git,https://github.com/oneapi-src/oneDNN.git,3445,2024-04-15 19:06:30+00:00,CI/oneapi-src--oneDNN.sh,ci,,,64f6f9cb3941f5fb57d85e3980c2d0502edf52f3,TODO:TestScript
7247,KratosMultiphysics/Kratos,C++,git,https://github.com/KratosMultiphysics/Kratos.git,954,2024-04-15 20:10:46+00:00,autofail.sh,ci,,,f35cf49c77529ea91ab266d81dbdc4b8fd521ae6,Autobuild Fail
5709,ddemidov/vexcl,C++,git,https://github.com/ddemidov/vexcl.git,694,2022-03-26 05:31:19+00:00,default_cmake.sh,ci,,False,8e7312a26865d2cebdbaa1a4caeb8494a1796585,Autobuild Success
6413,kthohr/stats,C++,git,https://github.com/kthohr/stats.git,498,2023-05-14 13:04:46+00:00,,ci,,,,
7282,libocca/occa,C++,git,https://github.com/libocca/occa.git,378,2024-04-09 15:36:44+00:00,default_make.sh,ci,,False,3cba0841b2b87678da53e0b311cb7e162d781181,Autobuild Success
7281,alpaka-group/alpaka,C++,git,https://github.com/alpaka-group/alpaka.git,320,2024-04-15 22:19:37+00:00,,ci,,,,
7609,sbeamer/gapbs,C++,git,https://github.com/sbeamer/gapbs.git,301,2024-01-23 20:43:21+00:00,default_make.sh,ci,,False,33f73f46e78807ab4b04f6bca618ed7f02169d2f,Autobuild Success
6027,nanoant/DisableTurboBoost.kext,C,git,https://github.com/nanoant/DisableTurboBoost.kext.git,265,2021-12-07 20:43:46+00:00,autofail.sh,ci,,,4f493b1927e0b62d5fab1f068302386c02317bc6,Autobuild Fail
7259,zjin-lcf/HeCBench,C++,git,https://github.com/zjin-lcf/HeCBench.git,171,2024-04-11 21:02:33+00:00,autofail.sh,ci,,,fcff2dcc102258de25659eb6dda7e028dd4d5141,Autobuild Fail
7143,parallel-runtimes/lomp,C++,git,https://github.com/parallel-runtimes/lomp.git,148,2022-10-04 06:31:03+00:00,,ci,,,,
7894,UoB-HPC/openmp-tutorial,C,git,https://github.com/UoB-HPC/openmp-tutorial.git,111,2023-11-13 00:05:48+00:00,autofail.sh,ci,,,1a0561b479be40c20acd748b8859f8c3b3a3e94c,Autobuild Fail
7264,intel/yask,C++,git,https://github.com/intel/yask.git,102,2024-04-11 15:34:03+00:00,default_make.sh,ci,,False,08b684f6d3145f62834384c89834468da5acb157,Autobuild Success
5922,prip-lab/MSU-LatentAFIS,C++,git,https://github.com/prip-lab/MSU-LatentAFIS.git,93,2022-01-07 21:32:22+00:00,autofail.sh,ci,,,6dd2dab9767dce3940689150e73b072c30ec08e1,Autobuild Fail
5833,yzhaiustc/Optimizing-DGEMM-on-Intel-CPUs-with-AVX512F,C,git,https://github.com/yzhaiustc/Optimizing-DGEMM-on-Intel-CPUs-with-AVX512F.git,87,2022-02-03 21:52:47+00:00,autofail.sh,ci,,,fd62398ae788ee3adbf96aa95e119d98c5d71779,Autobuild Fail
7224,csc-training/summerschool,C++,git,https://github.com/csc-training/summerschool.git,78,2024-04-15 14:13:55+00:00,,ci,,,,
816,lagodiuk/raytracing-render,C,git,https://github.com/lagodiuk/raytracing-render.git,73,2015-11-22 01:40:43+00:00,default_make.sh,ci,,False,86bb967f6ec4cd1cd4c676912720dd193d7ed903,Autobuild Success
7855,bsc-pm/mcxx,C,git,https://github.com/bsc-pm/mcxx.git,68,2023-11-21 11:57:12+00:00,autofail.sh,ci,,,f136f09bf868ad2e419f89a13e47d4c91eb941e7,Autobuild Fail
5242,pierrebarbera/epa-ng,C++,git,https://github.com/pierrebarbera/epa-ng.git,66,2022-08-23 09:14:47+00:00,default_make.sh,ci,,False,1251dd43a6ae218bc5eb4c724f95374c015fb5ab,Autobuild Success
3338,PRUNERS/archer,C,git,https://github.com/PRUNERS/archer.git,60,2020-08-19 11:04:16+00:00,autofail.sh,ci,,,5b37681fddd4e9426c1443d55bf4336823c6611d,Autobuild Fail
5377,mperlet/matrix_multiplication,C,git,https://github.com/mperlet/matrix_multiplication.git,53,2022-06-27 17:23:37+00:00,default_make.sh,ci,,False,fc08492183fde5dcacc422c29d1123b6e126b344,Autobuild Success
7611,lreis2415/SEIMS,C++,git,https://github.com/lreis2415/SEIMS.git,48,2024-04-12 13:01:30+00:00,,ci,,,,
5195,bprail/contech,C++,git,https://github.com/bprail/contech.git,47,2020-10-20 16:56:11+00:00,autofail.sh,ci,,,b2cfe502a8dd21eb048bc96c961d95d3e497485f,Autobuild Fail
2253,bsc-pm/bots,C,git,https://github.com/bsc-pm/bots.git,43,2019-09-20 14:14:18+00:00,,ci,,,2607a695128727a3f6c98754367705443663136d,
4305,GMAP/NPB-CPP,C++,git,https://github.com/GMAP/NPB-CPP.git,40,2021-08-21 18:45:19+00:00,,ci,,,,
4309,bsc-pm/nanox,C++,git,https://github.com/bsc-pm/nanox.git,38,2021-08-18 19:16:37+00:00,autofail.sh,ci,,,a9df6936128ebe10374350c719a0fba74bc89803,Autobuild Fail
5409,kimwalisch/primesum,C++,git,https://github.com/kimwalisch/primesum.git,36,2022-06-17 19:21:33+00:00,default_cmake.sh,ci,,False,ac22b966a560a42c1872c02beb8ac4d00d8d88d4,Autobuild Success
6038,brightskiesinc/Reverse_Time_Migration,C++,git,https://github.com/brightskiesinc/Reverse_Time_Migration.git,33,2021-12-05 14:53:18+00:00,autofail.sh,ci,,,587300264576ab91c98f9148534e0d2c7f5ee9cf,Autobuild Fail
3245,imsure/parallel-programming,C,git,https://github.com/imsure/parallel-programming.git,32,2020-10-01 14:40:43+00:00,autofail.sh,ci,,,f5d2cca507ffecb073d4fde93ca7f3ff46b596c7,Autobuild Fail
8150,feltor-dev/feltor,C++,git,https://github.com/feltor-dev/feltor.git,30,2023-08-09 09:09:14+00:00,autofail.sh,ci,,,cafe7d194f149e28b8e9c644a187132af95ecc0c,Autobuild Fail
1302,olcf/Serial-to-Parallel--Monte-Carlo-Pi,C,git,https://github.com/olcf/Serial-to-Parallel--Monte-Carlo-Pi.git,28,2018-06-27 12:50:21+00:00,autofail.sh,ci,,,900738c7a77050cfc8a198b3c26d368ef3351bb9,Autobuild Fail
7280,LLNL/mpibind,C,git,https://github.com/LLNL/mpibind.git,27,2024-04-09 21:51:18+00:00,,ci,,,,
