Code,PushDate
stotko--stdgpu,2024-04-10 07:11:37+00:00
ekondis--mixbench,2024-02-23 20:05:12+00:00
InteractiveComputerGraphics--CompactNSearch,2022-09-09 10:37:38+00:00
tgmattso--OpenMP_intro_tutorial,2020-11-25 04:25:51+00:00
ROCm--rocALUTION,2024-04-16 05:59:47+00:00
ashvardanian--ParallelReductionsBenchmark,2023-11-28 20:52:47+00:00
eth-cscs--SpFFT,2024-03-21 11:50:24+00:00
fzqneo--ByteSlice,2018-06-22 01:13:09+00:00
illuhad--hipCPU,2020-06-16 14:32:28+00:00
KarypisLab--TriangleCounting,2018-03-28 22:36:27+00:00
KarypisLab--K-Truss,2018-03-28 22:48:18+00:00
cosmin-ionita--OpenMP-Game-Of-Life,2017-07-18 15:30:06+00:00
VaradPathak--TopicModeling,2014-04-15 16:33:38+00:00
capellil--iPregel,2022-09-05 15:20:10+00:00
dfsp-spirit--cpp_geodesics,2024-03-01 11:49:34+00:00
davide97l--PageRank-Parallel,2020-03-20 03:58:35+00:00
pengjuntc--knapsack-openmp,2015-05-19 17:48:02+00:00
gabrielemirando--image-segmentation,2020-01-02 16:44:02+00:00
connortribbett--CPP-AVX2-OpenMP-3x3-Image-Filtering-Algo,2021-05-07 05:37:20+00:00
xbasics--knn_openmp_mnist,2020-05-08 21:31:10+00:00
gbossi--Pagerank-DOBFS,2018-05-07 09:56:15+00:00
Zhou-Shu--Openmp_Sparse_Matrix,2020-03-03 11:04:24+00:00
YannChemin--HBV,2022-08-19 15:17:09+00:00
discopop-project--OpenMP-Microbench,2023-11-13 10:03:21+00:00
Yowgf--delta-stepping,2022-04-02 01:47:05+00:00
Sahil941--OpenMP-SPMV,2017-12-18 23:21:37+00:00
OronDF343--PrimeFDG,2022-05-25 14:30:51+00:00
juan-burtet--ParallelBucketSort,2018-08-22 13:19:01+00:00
AndreasKaratzas--tsp,2021-01-24 13:58:41+00:00
jnguyen1098--mazep,2021-03-31 21:54:24+00:00
epoell--openMP_examples_and_Matrix-Matrix-Multiplication,2021-02-08 13:34:05+00:00
zosiakropka--trigrams-openmp,2013-12-06 01:15:49+00:00
an4--HPC-OpenMP,2014-10-20 19:35:16+00:00
xhquant--OpenMP,2021-08-09 11:23:46+00:00
ahmedrayhan--game-of-life-openMP,2018-04-13 18:34:47+00:00
zuriscript--PapiWrapper,2020-12-21 00:24:38+00:00
rosiewuuu--Hardware-Aware-Software-Optimization-Matrix-Multiplication,2023-10-19 19:11:23+00:00
iagobueno--openMP,2023-10-09 01:48:15+00:00
SilvioBaratto--Parallel-KD-tree-OpenMP-OpenMPI,2022-05-17 14:44:59+00:00
Kallebyramos--Nested-Loop-Openmp,2022-05-10 22:31:25+00:00
brun0mr--RainbowGameOfLife_threads,2023-09-24 00:30:10+00:00
jdn5126--BarnesHutSimulation,2022-11-22 16:29:54+00:00
franconoronha--checkers_openmp,2023-08-11 02:43:34+00:00
mralex1810--openmp,2022-02-09 16:30:20+00:00
dizys--nyu-multicore-lab-2,2022-04-05 02:17:22+00:00
patberry99--Huffman-Coding,2022-04-14 00:20:17+00:00
iroghair--verletIntegrationSpeedtest,2022-02-24 15:29:59+00:00
nyu-multicore--k-means,2022-04-24 03:51:48+00:00
francidellungo--Mean_Shift,2022-04-03 09:42:15+00:00
kaliczp--OpenMPteszt,2022-01-31 04:25:26+00:00
