,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
0,jfmartinez/parallelization_take_home_exam,C,git,https://github.com/jfmartinez/parallelization_take_home_exam.git,0,-9547617,,,
1,hongrun007/openmp,C,git,https://github.com/hongrun007/openmp.git,0,-9557617,,,
2,joshuaar/MinCut,C++,git,https://github.com/joshuaar/MinCut.git,0,-9577617,,,
3,infoshoc/Barnes-Hut,C++,git,https://github.com/infoshoc/Barnes-Hut.git,0,-9597617,,,
4,filippobrizzi/soma,C++,git,https://github.com/filippobrizzi/soma.git,1,-9597617,,,
5,ngarneau/gif-4104-tp2,C++,git,https://github.com/ngarneau/gif-4104-tp2.git,0,-9667617,,,
6,afg1/SimpleDispatcher,C++,git,https://github.com/afg1/SimpleDispatcher.git,0,-9727617,,,
7,adeel1234/Capstone,,git,https://github.com/adeel1234/Capstone.git,0,-9727617,,,
8,jbreitbart/OpenMP-GASPI-MicroBenchmark-Suite,C,git,https://github.com/jbreitbart/OpenMP-GASPI-MicroBenchmark-Suite.git,0,-9777617,,,
9,jonasrk/ParProg-5-1-OpenMPI,C,git,https://github.com/jonasrk/ParProg-5-1-OpenMPI.git,0,-9817617,,,
10,davestampf/OpenMPTutorialBase,C,git,https://github.com/davestampf/OpenMPTutorialBase.git,0,-9847617,,,
11,davestampf/OpenMPTutorialFull,C,git,https://github.com/davestampf/OpenMPTutorialFull.git,0,-9847617,,,
12,kei91/openmp,C++,git,https://github.com/kei91/openmp.git,0,-9877617,,,
13,ftes/de.uni-potsdam.hpi.kpp.heatmap-openmpi,C++,git,https://github.com/ftes/de.uni-potsdam.hpi.kpp.heatmap-openmpi.git,0,-9877617,,,
14,akashgangil/HPPC-Labs,C++,git,https://github.com/akashgangil/HPPC-Labs.git,1,-9887617,,,
15,kt9302/ImageConvolution,C,git,https://github.com/kt9302/ImageConvolution.git,2,-9947617,,,
16,erictu/Image-Processing-Optimization,C,git,https://github.com/erictu/Image-Processing-Optimization.git,2,-10037617,,,
17,noritsuna/HandDetectorOpenMP,C++,git,https://github.com/noritsuna/HandDetectorOpenMP.git,4,-10067617,,,
18,lk-2020/CFiles,C,git,https://github.com/lk-2020/CFiles.git,0,-10067617,,,
19,pterolex/MandelbrotConsole,C++,git,https://github.com/pterolex/MandelbrotConsole.git,0,-10117617,,,
20,fjiang6o2/2D_convolution_optimization,C,git,https://github.com/fjiang6o2/2D_convolution_optimization.git,0,-10177617,,,
21,ravikanthreddy89/LUDecomposition,C,git,https://github.com/ravikanthreddy89/LUDecomposition.git,0,-10187617,,,
22,eokeeffe/Parallel-C,C,git,https://github.com/eokeeffe/Parallel-C.git,2,-10197617,,,
23,varunsharma0286/LaplaceEquation,,git,https://github.com/varunsharma0286/LaplaceEquation.git,3,-10197617,,,
24,senior-sigan/ParallelMethods,C++,git,https://github.com/senior-sigan/ParallelMethods.git,1,-10197617,,,
25,necst/DBSCAN,C++,git,https://github.com/necst/DBSCAN.git,5,-10217617,,,
26,hfcorreia/squirrels,C,git,https://github.com/hfcorreia/squirrels.git,2,-10267617,,,
27,ricleal/TestOpenMP,C++,git,https://github.com/ricleal/TestOpenMP.git,0,-10287617,,,
28,ftes/de.uni-potsdam.hpi.kpp.decrypt-openmp,C++,git,https://github.com/ftes/de.uni-potsdam.hpi.kpp.decrypt-openmp.git,0,-10307617,,,
29,ykhli/OpenMPI-Floyed,C,git,https://github.com/ykhli/OpenMPI-Floyed.git,0,-10317617,,,
30,RobertWSmith/RcppRegression,C++,git,https://github.com/RobertWSmith/RcppRegression.git,0,-10327617,,,
