,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
7225.0,Ysurac/openmptcprouter,C,git,https://github.com/Ysurac/openmptcprouter.git,1642.0,6151985,,,
7642.0,kthohr/optim,C++,git,https://github.com/kthohr/optim.git,764.0,5201985,,,
7216.0,OpenMPT/openmpt,C++,git,https://github.com/OpenMPT/openmpt.git,521.0,6151985,,,
7402.0,beltoforion/muparser,C++,git,https://github.com/beltoforion/muparser.git,391.0,5851985,,,
7251.0,darktable-org/rawspeed,C++,git,https://github.com/darktable-org/rawspeed.git,335.0,6131985,,,
7409.0,UoB-HPC/BabelStream,C++,git,https://github.com/UoB-HPC/BabelStream.git,309.0,5841985,,,
7266.0,bcgsc/abyss,C++,git,https://github.com/bcgsc/abyss.git,296.0,6111985,,,
1318.0,wepe/dive-into-ml-system,C++,git,https://github.com/wepe/dive-into-ml-system.git,228.0,6222383,,,
4201.0,llvm-mirror/openmp,C++,git,https://github.com/llvm-mirror/openmp.git,160.0,-10288015,,,
7297.0,roastduck/FreeTensor,C++,git,https://github.com/roastduck/FreeTensor.git,119.0,6061985,,,
7760.0,sandialabs/omega_h,C++,git,https://github.com/sandialabs/omega_h.git,109.0,4891985,,,
6382.0,fengbingchun/CUDA_Test,C++,git,https://github.com/fengbingchun/CUDA_Test.git,98.0,19.06.9708,,,
987.0,clang-omp/clang,C++,git,https://github.com/clang-omp/clang.git,90.0,-5517617,,,
7037.0,arcosuc3m/grppi,C++,git,https://github.com/arcosuc3m/grppi.git,81.0,04.05.4643,,,
7316.0,unibas-dmi-hpc/SPH-EXA,C++,git,https://github.com/unibas-dmi-hpc/SPH-EXA.git,75.0,6151985,,,
7255.0,PennyLaneAI/pennylane-lightning,C++,git,https://github.com/PennyLaneAI/pennylane-lightning.git,70.0,6151985,,,
6409.0,drons/nbody,C++,git,https://github.com/drons/nbody.git,67.0,24.10.9516,,,
1171.0,rarietta/Projective-Dynamics,C++,git,https://github.com/rarietta/Projective-Dynamics.git,64.0,-8807617,,,
7461.0,limbo018/OpenMPL,C++,git,https://github.com/limbo018/OpenMPL.git,59.0,5711985,,,
7261.0,SOLLVE/sollve_vv,C,git,https://github.com/SOLLVE/sollve_vv.git,51.0,6121985,,,
3750.0,edawson/rkmh,C++,git,https://github.com/edawson/rkmh.git,47.0,-8548015,,,
2991.0,audioboy77/OpenMP3,C,git,https://github.com/audioboy77/OpenMP3.git,44.0,7892383,,,
6823.0,RajdeepKonwar/stockast,C++,git,https://github.com/RajdeepKonwar/stockast.git,40.0,30.01.6286,,,
8037.0,benchmark-subsetting/cere,C,git,https://github.com/benchmark-subsetting/cere.git,38.0,4141985,,,
2000.0,ilyak/openmp-tutorial,C++,git,https://github.com/ilyak/openmp-tutorial.git,37.0,3022383,,,
6363.0,3343/edge,C++,git,https://github.com/3343/edge.git,35.0,25.12.9817,,,
7487.0,2b-t/LB-t,C++,git,https://github.com/2b-t/LB-t.git,32.0,5651985,,,
1757.0,zq-chen/ParaPano,C++,git,https://github.com/zq-chen/ParaPano.git,31.0,4352383,,,
8104.0,archibate/parallel-languages-benchmark,C++,git,https://github.com/archibate/parallel-languages-benchmark.git,29.0,3841985,,,
3015.0,vulq/Flo,C++,git,https://github.com/vulq/Flo.git,27.0,7782383,,,
7625.0,kforner/rcpp_progress,C++,git,https://github.com/kforner/rcpp_progress.git,27.0,5261985,,,
7574.0,mriesch-tum/mbsolve,C++,git,https://github.com/mriesch-tum/mbsolve.git,25.0,5391985,,,
2700.0,ntuhpc/training-ay1819,C,git,https://github.com/ntuhpc/training-ay1819.git,24.0,9082383,,,
6441.0,ruoxi-wang/PBBFMM3D,C++,git,https://github.com/ruoxi-wang/PBBFMM3D.git,24.0,19.04.9407,,,
2362.0,amy-tabb/tabb-level-set-segmentation,C++,git,https://github.com/amy-tabb/tabb-level-set-segmentation.git,23.0,10282383,,,
7441.0,lanl/libquo,C,git,https://github.com/lanl/libquo.git,22.0,5761985,,,
7575.0,bsc-pm/tampi,C++,git,https://github.com/bsc-pm/tampi.git,21.0,5391985,,,
854.0,lixueclaire/Parallel-SVD,C++,git,https://github.com/lixueclaire/Parallel-SVD.git,21.0,-3437617,,,
7136.0,utpalbora/LLOV,C++,git,https://github.com/utpalbora/LLOV.git,20.0,14.01.3466,,,
5270.0,alex-87/HyperGraphLib,C++,git,https://github.com/alex-87/HyperGraphLib.git,20.0,07.06.1905,,,
6118.0,soumik12345/Radium,C++,git,https://github.com/soumik12345/Radium.git,19.0,-2688015,,,
2921.0,hennimohammed/parallel_chess_engine,C,git,https://github.com/hennimohammed/parallel_chess_engine.git,18.0,8192383,,,
3908.0,Zagrosss/maxflow,C++,git,https://github.com/Zagrosss/maxflow.git,18.0,-9298015,,,
1965.0,kcherenkov/Parallel-Programming-Labs,C++,git,https://github.com/kcherenkov/Parallel-Programming-Labs.git,17.0,3322383,,,
85.0,motonacciu/clomp,C++,git,https://github.com/motonacciu/clomp.git,17.0,9622781,,,
6289.0,parrotsky/AutoDiCE,C++,git,https://github.com/parrotsky/AutoDiCE.git,17.0,3121985,,,
7755.0,tan2/DynEarthSol,C++,git,https://github.com/tan2/DynEarthSol.git,16.0,5841985,,,
6504.0,tiev-tongji/VoxelGridOMP,C++,git,https://github.com/tiev-tongji/VoxelGridOMP.git,15.0,15.05.9051,,,
7709.0,tactcomplabs/circustent,C++,git,https://github.com/tactcomplabs/circustent.git,14.0,4991985,,,
3626.0,abarankab/parallel-boruvka,C++,git,https://github.com/abarankab/parallel-boruvka.git,14.0,-8168015,,,
5358.0,sinecode/MeanShift,C++,git,https://github.com/sinecode/MeanShift.git,14.0,-368015,,,
2812.0,arneish/parallel-k-means,C,git,https://github.com/arneish/parallel-k-means.git,14.0,8612383,,,
4669.0,chaihf/BFS-OpenMP,C++,git,https://github.com/chaihf/BFS-OpenMP.git,13.0,-4888015,,,
3425.0,rahulsrma26/simpleAI,C++,git,https://github.com/rahulsrma26/simpleAI.git,13.0,-7588015,,,
7608.0,gary-funck/parallel-merge-sort,C,git,https://github.com/gary-funck/parallel-merge-sort.git,13.0,5341985,,,
1060.0,lionleaf/parallel-c-programs,C,git,https://github.com/lionleaf/parallel-c-programs.git,12.0,-6367617,,,
2850.0,yangyang14641/Parallel-Matrix-Multiplication-FOX-Algorithm,C,git,https://github.com/yangyang14641/Parallel-Matrix-Multiplication-FOX-Algorithm.git,12.0,8462383,,,
5123.0,josephjaspers/blackcat_tensors,C++,git,https://github.com/josephjaspers/blackcat_tensors.git,12.0,-6388015,,,
4933.0,tgmattso/ParResKernels,C,git,https://github.com/tgmattso/ParResKernels.git,11.0,-5808015,,,
6486.0,gmendonca/gaussian-elimination-pthreads-openmp,C,git,https://github.com/gmendonca/gaussian-elimination-pthreads-openmp.git,11.0,19.11.9160,,,
4296.0,atmughrabi/OpenGraphSim,C,git,https://github.com/atmughrabi/OpenGraphSim.git,11.0,-3478015,,,
5961.0,willkill07/AdventOfCode2021,C++,git,https://github.com/willkill07/AdventOfCode2021.git,11.0,-2288015,,,
3521.0,nowke/hpc_lab,C,git,https://github.com/nowke/hpc_lab.git,10.0,-7918015,,,
1075.0,tejalb/Heat-Diffusion-using-MPI-,C++,git,https://github.com/tejalb/Heat-Diffusion-using-MPI-.git,10.0,-6647617,,,
6286.0,RMResearch/OpenMPD,C,git,https://github.com/RMResearch/OpenMPD.git,10.0,3131985,,,
7109.0,kate-mcardle/tree-based-parallel-kNN,C++,git,https://github.com/kate-mcardle/tree-based-parallel-kNN.git,10.0,19.12.3821,,,
6536.0,fmorenovr/ComputerScience_UNI,C,git,https://github.com/fmorenovr/ComputerScience_UNI.git,9.0,02.05.8832,,,
7443.0,bsc-performance-tools/paraver-kernel,C++,git,https://github.com/bsc-performance-tools/paraver-kernel.git,9.0,6031985,,,
2076.0,billDrett/GameOfLife-MPI-OpenMp-Cuda-,C,git,https://github.com/billDrett/GameOfLife-MPI-OpenMp-Cuda-.git,9.0,29.11.8723,,,
264.0,adricarda/parallel-Bucket-Sort,C,git,https://github.com/adricarda/parallel-Bucket-Sort.git,9.0,12.06.6451,,,
7120.0,AFD-Illinois/iharm3d,C,git,https://github.com/AFD-Illinois/iharm3d.git,9.0,25.01.3685,,,
360.0,JRWynneIII/Mandelbrot,C,git,https://github.com/JRWynneIII/Mandelbrot.git,8.0,13.09.4808,,,
1093.0,rodrimc/RayTracing_Parallel,C++,git,https://github.com/rodrimc/RayTracing_Parallel.git,8.0,-6917617,,,
5855.0,jinaojakezhang/DJTLED,C++,git,https://github.com/jinaojakezhang/DJTLED.git,8.0,-1938015,,,
5847.0,huaminghuangtw/Parallel-Sudoku-Solver,C++,git,https://github.com/huaminghuangtw/Parallel-Sudoku-Solver.git,8.0,-1908015,,,
3038.0,guru-irl/parallel-aes,C++,git,https://github.com/guru-irl/parallel-aes.git,8.0,7702383,,,
1901.0,lukas783/CUDA-Sobel-Filter,C++,git,https://github.com/lukas783/CUDA-Sobel-Filter.git,8.0,3792383,,,
1565.0,pkestene/incremental-fluids-kokkos,C++,git,https://github.com/pkestene/incremental-fluids-kokkos.git,8.0,5332383,,,
5443.0,andyfratello/PAR,C,git,https://github.com/andyfratello/PAR.git,8.0,-628015,,,
