,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
7268.0,OpenNMT/CTranslate2,C++,git,https://github.com/OpenNMT/CTranslate2.git,2757.0,6101985,,,
7256.0,faasm/faasm,C++,git,https://github.com/faasm/faasm.git,835.0,6151985,,,
7257.0,rose-compiler/rose,C,git,https://github.com/rose-compiler/rose.git,575.0,6121985,,,
7228.0,ParRes/Kernels,C,git,https://github.com/ParRes/Kernels.git,401.0,6151985,,,
7232.0,ginkgo-project/ginkgo,C++,git,https://github.com/ginkgo-project/ginkgo.git,372.0,6151985,,,
7338.0,SmileiPIC/Smilei,C++,git,https://github.com/SmileiPIC/Smilei.git,313.0,5961985,,,
7311.0,spoutn1k/mcmap,C++,git,https://github.com/spoutn1k/mcmap.git,300.0,6021985,,,
4342.0,zanazakaryaie/ARM-VO,C++,git,https://github.com/zanazakaryaie/ARM-VO.git,236.0,-3708015,,,
7315.0,manodeep/Corrfunc,C,git,https://github.com/manodeep/Corrfunc.git,162.0,6021985,,,
2716.0,muatik/openmp-examples,C++,git,https://github.com/muatik/openmp-examples.git,126.0,9022383,,,
7241.0,zer011b/fdtd3d,C++,git,https://github.com/zer011b/fdtd3d.git,109.0,6151985,,,
1407.0,liaman/Geophysics,C,git,https://github.com/liaman/Geophysics.git,100.0,5922383,,,
8071.0,cdl-saarland/rv,C++,git,https://github.com/cdl-saarland/rv.git,93.0,6121985,,,
6303.0,ttsiodras/MandelbrotSSE,C++,git,https://github.com/ttsiodras/MandelbrotSSE.git,83.0,3081985,,,
1247.0,sergeas67/OpenHyperFLOW2D,C++,git,https://github.com/sergeas67/OpenHyperFLOW2D.git,78.0,6612383,,,
4246.0,JGU-HPC/parallelprogrammingbook,C++,git,https://github.com/JGU-HPC/parallelprogrammingbook.git,70.0,-3218015,,,
5770.0,ShadenSmith/splatt,C,git,https://github.com/ShadenSmith/splatt.git,67.0,-1588015,,,
7333.0,GOMC-WSU/GOMC,C++,git,https://github.com/GOMC-WSU/GOMC.git,65.0,5971985,,,
6849.0,qiansunn/BellmanFord,C++,git,https://github.com/qiansunn/BellmanFord.git,60.0,5811985,,,
7238.0,metrumresearchgroup/Torsten,C++,git,https://github.com/metrumresearchgroup/Torsten.git,52.0,6151985,,,
4379.0,Jokeren/gBolt,C++,git,https://github.com/Jokeren/gBolt.git,48.0,-3898015,,,
1091.0,benchmark-subsetting/NPB3.0-omp-C,C,git,https://github.com/benchmark-subsetting/NPB3.0-omp-C.git,46.0,-6907617,,,
5559.0,clchan000/Multiple-QR-codes-Detection-Segmentation-and-Decoding,C++,git,https://github.com/clchan000/Multiple-QR-codes-Detection-Segmentation-and-Decoding.git,43.0,-918015,,,
4892.0,openwall/php_mt_seed,C,git,https://github.com/openwall/php_mt_seed.git,40.0,-5688015,,,
7417.0,pkestene/euler2d_kokkos,C++,git,https://github.com/pkestene/euler2d_kokkos.git,38.0,5821985,,,
7854.0,dgehringer/sqsgenerator,C++,git,https://github.com/dgehringer/sqsgenerator.git,35.0,4691985,,,
1149.0,Nersle/parallelProgramingProject,C,git,https://github.com/Nersle/parallelProgramingProject.git,33.0,-8417617,,,
653.0,mikoro/raycer,C++,git,https://github.com/mikoro/raycer.git,31.0,-1457617,,,
3416.0,navining/cuda-raytracing,C++,git,https://github.com/navining/cuda-raytracing.git,29.0,-7548015,,,
7215.0,PhasicFlow/phasicFlow,C++,git,https://github.com/PhasicFlow/phasicFlow.git,28.0,6151985,,,
4570.0,DasudaRunner/Object-Tracking,C++,git,https://github.com/DasudaRunner/Object-Tracking.git,27.0,-4578015,,,
7442.0,bsc-performance-tools/wxparaver,C++,git,https://github.com/bsc-performance-tools/wxparaver.git,26.0,6031985,,,
7344.0,AFD-Illinois/kharma,C++,git,https://github.com/AFD-Illinois/kharma.git,25.0,6151985,,,
6540.0,ECP-ExaGraph/miniVite,C++,git,https://github.com/ECP-ExaGraph/miniVite.git,24.0,30.07.8777,,,
5786.0,fandreuz/parallel-kd-tree,C++,git,https://github.com/fandreuz/parallel-kd-tree.git,23.0,-1648015,,,
3256.0,tsaglam/TrafficSimulation,C++,git,https://github.com/tsaglam/TrafficSimulation.git,22.0,-6808015,,,
2450.0,richursa/cpuBitonicSort,C++,git,https://github.com/richursa/cpuBitonicSort.git,21.0,9862383,,,
4354.0,dalvangriebler/NPB-CPP,C++,git,https://github.com/dalvangriebler/NPB-CPP.git,21.0,-3758015,,,
1316.0,repalash/CUDAPathTracerRL,C++,git,https://github.com/repalash/CUDAPathTracerRL.git,20.0,6242383,,,
6294.0,ECP-ExaGraph/grappolo,C++,git,https://github.com/ECP-ExaGraph/grappolo.git,20.0,3101985,,,
6333.0,TApplencourt/OvO,C++,git,https://github.com/TApplencourt/OvO.git,19.0,2971985,,,
3320.0,tgregov/Multiphysics,C++,git,https://github.com/tgregov/Multiphysics.git,18.0,-7108015,,,
1994.0,ttsiodras/straylight,C++,git,https://github.com/ttsiodras/straylight.git,18.0,3042383,,,
2575.0,arneish/parallel-PCA-openmp,C,git,https://github.com/arneish/parallel-PCA-openmp.git,17.0,9472383,,,
7555.0,amannougrahiya/imop-compiler,C,git,https://github.com/amannougrahiya/imop-compiler.git,17.0,5461985,,,
3752.0,naps62/parallel-sort,C++,git,https://github.com/naps62/parallel-sort.git,17.0,-8558015,,,
7254.0,chenxuhao/GraphAIBench,C++,git,https://github.com/chenxuhao/GraphAIBench.git,16.0,6121985,,,
4044.0,Michaelangel007/buddhabrot,C++,git,https://github.com/Michaelangel007/buddhabrot.git,15.0,-9758015,,,
2710.0,RayhanShikder/lcs_parallel,C,git,https://github.com/RayhanShikder/lcs_parallel.git,14.0,9042383,,,
7003.0,rehbergT/dgemm,C++,git,https://github.com/rehbergT/dgemm.git,14.0,16.02.4917,,,
662.0,eduardlopez/quicksort-parallel,C,git,https://github.com/eduardlopez/quicksort-parallel.git,14.0,-1527617,,,
8140.0,nasa/upsp-processing,C++,git,https://github.com/nasa/upsp-processing.git,14.0,3701985,,,
4818.0,ICRAR/libprofit,C++,git,https://github.com/ICRAR/libprofit.git,14.0,-5458015,,,
3694.0,LorenzoAgnolucci/MeanShiftClustering,C++,git,https://github.com/LorenzoAgnolucci/MeanShiftClustering.git,13.0,-8338015,,,
6090.0,PanPapag/Game-Of-Life,C,git,https://github.com/PanPapag/Game-Of-Life.git,13.0,-2588015,,,
7423.0,ROCm/OpenFOAM_HMM,C++,git,https://github.com/ROCm/OpenFOAM_HMM.git,12.0,5811985,,,
5199.0,Alexhaoge/FFT-MPI-OpenMP-CUDA,C++,git,https://github.com/Alexhaoge/FFT-MPI-OpenMP-CUDA.git,12.0,-6588015,,,
7276.0,rubensamarojr/polymps,C++,git,https://github.com/rubensamarojr/polymps.git,12.0,6091985,,,
2179.0,LangdalP/EPCC-OpenMP-micro-benchmarks,C,git,https://github.com/LangdalP/EPCC-OpenMP-micro-benchmarks.git,11.0,26.03.7519,,,
1366.0,varunsyal/Parallel-Convolutional-Networks,C++,git,https://github.com/varunsyal/Parallel-Convolutional-Networks.git,11.0,6042383,,,
7547.0,RemiHelleboid/BzMeshBandsDos,C++,git,https://github.com/RemiHelleboid/BzMeshBandsDos.git,11.0,5831985,,,
6621.0,avr-aics-riken/PMlib,C++,git,https://github.com/avr-aics-riken/PMlib.git,11.0,05.05.8038,,,
451.0,kamilmysliwiec/travelling-salesman-problem,C++,git,https://github.com/kamilmysliwiec/travelling-salesman-problem.git,10.0,03.05.3193,,,
582.0,yeephycho/OpenCV_based_JuliaSet_Implementation,C++,git,https://github.com/yeephycho/OpenCV_based_JuliaSet_Implementation.git,10.0,-747617,,,
