,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,build_script,use_cmake,use_configure,note,Unnamed:,14
7268,OpenNMT/CTranslate2,C++,git,https://github.com/OpenNMT/CTranslate2.git,2757,6101985,3b248f135d53fc21972c3321d0a0d3119392baed,,RS,autofail.sh,,,Confirmed,Fail,
7256,faasm/faasm,C++,git,https://github.com/faasm/faasm.git,835,6151985,2f17f92b58ca79b8d53aa0e6c3d76c1876caf51d,,RS,autofail.sh,,,Confirmed,Fain,
7257,rose-compiler/rose,C,git,https://github.com/rose-compiler/rose.git,575,6121985,36812e85e7268216a506005a7a0eb7fcadf24a66,,RS,autofail.sh,,,Confirmed,Fail,
7228,ParRes/Kernels,C,git,https://github.com/ParRes/Kernels.git,401,6151985,29830d75c5e96f3a7579f8b31e8c4cd7de8e68b4,,RS,autofail.sh,,,Confirmed,Fail,
7232,ginkgo-project/ginkgo,C++,git,https://github.com/ginkgo-project/ginkgo.git,372,6151985,591ace64692b8156a50bbaafbb12b001ed908661,,RS,default_cmake.sh,,FALSCH,Autobuild,Success,
7338,SmileiPIC/Smilei,C++,git,https://github.com/SmileiPIC/Smilei.git,313,5961985,456444957ad5099f7cbb917bdcf5eb51e7ffa7af,,RS,autofail.sh,,,Confirmed,Fail,
7311,spoutn1k/mcmap,C++,git,https://github.com/spoutn1k/mcmap.git,300,6021985,9e626f1a76bfe9f9cdbadd7cb82754ffcc77f008,,RS,autofail.sh,,,Confirmed,Fail,
4342,zanazakaryaie/ARM-VO,C++,git,https://github.com/zanazakaryaie/ARM-VO.git,236,-3708015,b9f7b721a6df5c99cc94eb7346d857be9111912f,,RS,autofail.sh,,,Confirmed,Fail,
7315,manodeep/Corrfunc,C,git,https://github.com/manodeep/Corrfunc.git,162,6021985,16c1b62bf5b61c3d6c7fab61aae50c7bff2fd222,,RS,autofail.sh,,,Confirmed,Fail,
2716,muatik/openmp-examples,C++,git,https://github.com/muatik/openmp-examples.git,126,9022383,e28bfb24d82b29aa1fcefadbdee5f8eb0399bdd0,,RS,autofail.sh,,,Confirmed,Fail,
7241,zer011b/fdtd3d,C++,git,https://github.com/zer011b/fdtd3d.git,109,6151985,d7beca241eee56e692e64960037933242cb90974,,RS,RS/zer011b--fdtd3d.sh,,,User script,script,
1407,liaman/Geophysics,C,git,https://github.com/liaman/Geophysics.git,100,5922383,b18954d9cec3e7bc473ea70efb8ac1986ba9a5ce,,RS,autofail.sh,,,Autobuild,Fail,
8071,cdl-saarland/rv,C++,git,https://github.com/cdl-saarland/rv.git,93,6121985,44e0bdb78889da1261596a0cacfdf12693e19e4e,,RS,autofail.sh,,,Autobuild,Fail,
