,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert
7296.0,openwall/john,C,git,https://github.com/openwall/john.git,9222.0,6061985,,,
7273.0,stotko/stdgpu,C++,git,https://github.com/stotko/stdgpu.git,1072.0,6101985,,,
7947.0,ddemidov/amgcl,C++,git,https://github.com/ddemidov/amgcl.git,702.0,4441985,,,
7937.0,DualSPHysics/DualSPHysics,C++,git,https://github.com/DualSPHysics/DualSPHysics.git,519.0,4481985,,,
7219.0,openmultiplayer/open.mp,C++,git,https://github.com/openmultiplayer/open.mp.git,389.0,6151985,,,
7495.0,ekondis/mixbench,C++,git,https://github.com/ekondis/mixbench.git,330.0,5631985,,,
7220.0,kimwalisch/primecount,C++,git,https://github.com/kimwalisch/primecount.git,302.0,6151985,,,
7370.0,zchrissirhcz/cmake_examples,C++,git,https://github.com/zchrissirhcz/cmake_examples.git,272.0,5901985,,,
7984.0,ricosjp/monolish,C++,git,https://github.com/ricosjp/monolish.git,189.0,4351985,,,
7393.0,InteractiveComputerGraphics/CompactNSearch,C++,git,https://github.com/InteractiveComputerGraphics/CompactNSearch.git,148.0,5871985,,,
5074.0,tgmattso/OpenMP_intro_tutorial,C,git,https://github.com/tgmattso/OpenMP_intro_tutorial.git,114.0,-6218015,,,
7790.0,MultithreadCorner/Hydra,C++,git,https://github.com/MultithreadCorner/Hydra.git,107.0,4841985,,,
7083.0,OpenMP/sources,C,git,https://github.com/OpenMP/sources.git,96.0,17.05.4068,,,
6051.0,olmallet81/URT,C++,git,https://github.com/olmallet81/URT.git,87.0,-2508015,,,
7543.0,masadcv/FastGeodis,C++,git,https://github.com/masadcv/FastGeodis.git,80.0,5491985,,,
4337.0,ysh329/OpenMP-101,C,git,https://github.com/ysh329/OpenMP-101.git,74.0,-3688015,,,
7899.0,tgmattso/OmpCommonCore,C,git,https://github.com/tgmattso/OmpCommonCore.git,68.0,4601985,,,
8063.0,LLNL/dataracebench,C,git,https://github.com/LLNL/dataracebench.git,66.0,4061985,,,
7262.0,ROCm/rocALUTION,C++,git,https://github.com/ROCm/rocALUTION.git,62.0,6121985,,,
7826.0,ashvardanian/ParallelReductionsBenchmark,C++,git,https://github.com/ashvardanian/ParallelReductionsBenchmark.git,59.0,4761985,,,
7478.0,cjmcv/hpc,C++,git,https://github.com/cjmcv/hpc.git,49.0,5681985,,,
7365.0,eth-cscs/SpFFT,C++,git,https://github.com/eth-cscs/SpFFT.git,47.0,5941985,,,
2328.0,FeeZhu/ICP,C++,git,https://github.com/FeeZhu/ICP.git,44.0,10422383,,,
4445.0,t-hishinuma/DD-AVX_v3,C++,git,https://github.com/t-hishinuma/DD-AVX_v3.git,40.0,-4168015,,,
2077.0,shreepads/pdfcrack-mp,C,git,https://github.com/shreepads/pdfcrack-mp.git,38.0,29.11.8723,,,
4912.0,CyCTW/Parallel-MCTS,C++,git,https://github.com/CyCTW/Parallel-MCTS.git,37.0,-5758015,,,
6768.0,codearxiv/PCReconstruct,C++,git,https://github.com/codearxiv/PCReconstruct.git,34.0,24.02.6724,,,
8111.0,Markus-Goetz/hpdbscan,C++,git,https://github.com/Markus-Goetz/hpdbscan.git,32.0,3831985,,,
6781.0,Mjolnir-MD/Mjolnir,C++,git,https://github.com/Mjolnir-MD/Mjolnir.git,30.0,02.04.6587,,,
5678.0,chenxuhao/gardenia,C++,git,https://github.com/chenxuhao/gardenia.git,28.0,-1278015,,,
1795.0,jimouris/parallel-convolution,C,git,https://github.com/jimouris/parallel-convolution.git,27.0,4262383,,,
8167.0,tgmattso/ATPESC,C,git,https://github.com/tgmattso/ATPESC.git,26.0,3561985,,,
1312.0,fzqneo/ByteSlice,C++,git,https://github.com/fzqneo/ByteSlice.git,25.0,6262383,,,
1434.0,moorejs/APSP-in-parallel,C++,git,https://github.com/moorejs/APSP-in-parallel.git,24.0,5832383,,,
4786.0,NJU-TJL/OpenMP-MPI_Labs,C,git,https://github.com/NJU-TJL/OpenMP-MPI_Labs.git,24.0,-5338015,,,
