,Code,Language,Type,URL,Stars,PushDate,usedHash,buildScript,expert,use_cmake,DEFAULT_CMAKE_BUILDABLE
7296.0,openwall/john,C,git,https://github.com/openwall/john.git,9222.0,6061985,c8e21e81ea1e4d300c0036c6a2e7866c9e78d3e0,,,False,False
7273.0,stotko/stdgpu,C++,git,https://github.com/stotko/stdgpu.git,1072.0,6101985,965a29f7c3fa72dc123c5a1abc5ddbadf3c39815,,,True,False
7947.0,ddemidov/amgcl,C++,git,https://github.com/ddemidov/amgcl.git,702.0,4441985,42ee9da2057153b1aef734e8e462c846a33aa805,,,True,True
7937.0,DualSPHysics/DualSPHysics,C++,git,https://github.com/DualSPHysics/DualSPHysics.git,519.0,4481985,ecf3e9a98fcc3957840dd11b9973c5c60e134065,,,False,False
7219.0,openmultiplayer/open.mp,C++,git,https://github.com/openmultiplayer/open.mp.git,389.0,6151985,abee9cd169a22df47632f4cf5506b0e581e72428,,,True,False
7495.0,ekondis/mixbench,C++,git,https://github.com/ekondis/mixbench.git,330.0,5631985,440a133a6423840ce613d1eaab43cd586effd389,,,False,False
7220.0,kimwalisch/primecount,C++,git,https://github.com/kimwalisch/primecount.git,302.0,6151985,e7d9c71bb4c6cc2d7435f32e939787a2d78e4cb9,,,True,True
7370.0,zchrissirhcz/cmake_examples,C++,git,https://github.com/zchrissirhcz/cmake_examples.git,272.0,5901985,cb9e41a05c711f372e225651e9fb0eb797b40dcc,,,False,False
7984.0,ricosjp/monolish,C++,git,https://github.com/ricosjp/monolish.git,189.0,4351985,a4bd3e6aedff26bbe91ea619ffb6425ce7687e12,,,True,False
7393.0,InteractiveComputerGraphics/CompactNSearch,C++,git,https://github.com/InteractiveComputerGraphics/CompactNSearch.git,148.0,5871985,99fa1fe052f353b33957948f36e628500f1737f7,,,True,True
5074.0,tgmattso/OpenMP_intro_tutorial,C,git,https://github.com/tgmattso/OpenMP_intro_tutorial.git,114.0,-6218015,56a6b0160e3f5c0a5711658436e3f9657ee57b09,,,False,False
7790.0,MultithreadCorner/Hydra,C++,git,https://github.com/MultithreadCorner/Hydra.git,107.0,4841985,aac22ce260362e20e173594deec48d2dc2100910,,,True,False
7083.0,OpenMP/sources,C,git,https://github.com/OpenMP/sources.git,96.0,17.05.4068,c8fe3d234ddbd5949d39f295f42455f626fd4582,,,False,False
6051.0,olmallet81/URT,C++,git,https://github.com/olmallet81/URT.git,87.0,-2508015,eae7f72df7b99d291bb6a227f212c557a794558e,,,False,False
7543.0,masadcv/FastGeodis,C++,git,https://github.com/masadcv/FastGeodis.git,80.0,5491985,0f6cc1e6e104bee56e6eb9dfdd2cfd29c21a1a3e,,,False,False
4337.0,ysh329/OpenMP-101,C,git,https://github.com/ysh329/OpenMP-101.git,74.0,-3688015,74bba4818a945bfc7d2d66b27ed48486d4757509,,,False,False
7899.0,tgmattso/OmpCommonCore,C,git,https://github.com/tgmattso/OmpCommonCore.git,68.0,4601985,9874ef58dffb2cf615717039cda0847f3eeb4444,,,False,False
8063.0,LLNL/dataracebench,C,git,https://github.com/LLNL/dataracebench.git,66.0,4061985,e1bffc57f35f2751afea6c9379b5863e0b2abfd9,,,False,False
7262.0,ROCm/rocALUTION,C++,git,https://github.com/ROCm/rocALUTION.git,62.0,6121985,aff9344fd5b7df8840593a64879e7e6bdd6217c2,,,True,True
7826.0,ashvardanian/ParallelReductionsBenchmark,C++,git,https://github.com/ashvardanian/ParallelReductionsBenchmark.git,59.0,4761985,c2d7acd4e65490f12400ffb746475cb826e4ad39,,,True,False
7478.0,cjmcv/hpc,C++,git,https://github.com/cjmcv/hpc.git,49.0,5681985,4a72edd9ff88a14db61c63135220258b0f70d599,,,False,False
7365.0,eth-cscs/SpFFT,C++,git,https://github.com/eth-cscs/SpFFT.git,47.0,5941985,0a0a08c203b311d10d840444886e61c87e2d20f0,,,True,False
2328.0,FeeZhu/ICP,C++,git,https://github.com/FeeZhu/ICP.git,44.0,10422383,5a7deebaae67448b9271f995b6e2a91ec838e0aa,,,False,False
4445.0,t-hishinuma/DD-AVX_v3,C++,git,https://github.com/t-hishinuma/DD-AVX_v3.git,40.0,-4168015,7b97503b2ee9b5c8d80f48674578b0629cb8ad35,,,False,False
2077.0,shreepads/pdfcrack-mp,C,git,https://github.com/shreepads/pdfcrack-mp.git,38.0,29.11.8723,7b1201718784f0d3aa60ee1ce22b82a1b0997a9b,,,False,False
4912.0,CyCTW/Parallel-MCTS,C++,git,https://github.com/CyCTW/Parallel-MCTS.git,37.0,-5758015,b346b964b2203cf8d7d9ca50e5d3a011b4bdc41d,,,True,False
6768.0,codearxiv/PCReconstruct,C++,git,https://github.com/codearxiv/PCReconstruct.git,34.0,24.02.6724,a247aea9fc4cf8530308ecb2ad130c501530b072,,,False,False
8111.0,Markus-Goetz/hpdbscan,C++,git,https://github.com/Markus-Goetz/hpdbscan.git,32.0,3831985,ce84bc17d8847305f6f8d43700b233b498f6027a,,,True,False
6781.0,Mjolnir-MD/Mjolnir,C++,git,https://github.com/Mjolnir-MD/Mjolnir.git,30.0,02.04.6587,20dbdea5529c24a49b71e8876ac1651efc512445,,,True,False
5678.0,chenxuhao/gardenia,C++,git,https://github.com/chenxuhao/gardenia.git,28.0,-1278015,5894df11cf47f8839945edadff43dc79e260216d,,,False,False
1795.0,jimouris/parallel-convolution,C,git,https://github.com/jimouris/parallel-convolution.git,27.0,4262383,4f83b34f1bebfce73fdf4fe330d8103859332cda,,,False,False
8167.0,tgmattso/ATPESC,C,git,https://github.com/tgmattso/ATPESC.git,26.0,3561985,cf8008ee3f1b66d19ab68a376873aef0a29e49b9,,,False,False
1312.0,fzqneo/ByteSlice,C++,git,https://github.com/fzqneo/ByteSlice.git,25.0,6262383,48a6e54da66795ffec8d649cd5be3fec01436f9f,,,True,False
1434.0,moorejs/APSP-in-parallel,C++,git,https://github.com/moorejs/APSP-in-parallel.git,24.0,5832383,80bfcb80ce6125700fb18bb73a2424e329a8217a,,,False,False
4786.0,NJU-TJL/OpenMP-MPI_Labs,C,git,https://github.com/NJU-TJL/OpenMP-MPI_Labs.git,24.0,-5338015,391c6957cc6d6c28fcae74bcf599a4b9a76c9e1b,,,False,False
4033.0,Tyrant1337/Lu-Decomposition-in-Parallel,C++,git,https://github.com/Tyrant1337/Lu-Decomposition-in-Parallel.git,23.0,-9728015,c2f607b3105efd15614fef2a29b311502426785f,,,False,False
3488.0,illuhad/hipCPU,C++,git,https://github.com/illuhad/hipCPU.git,21.0,-7838015,0aa4e2c0a7f83956c0948e0d34aff0e3f233b406,,,True,True
4385.0,shikishima-TasakiLab/Involution-PyTorch,C++,git,https://github.com/shikishima-TasakiLab/Involution-PyTorch.git,21.0,-3918015,2319dea02b2f4befe8fb5e82bd5d0d99cb48f919,,,False,False
7334.0,Foundations-of-HPC/High-Performance-Computing-2023,C,git,https://github.com/Foundations-of-HPC/High-Performance-Computing-2023.git,21.0,5971985,f5b065fa7afced06c6047c6ad8a977bbeddb7508,,,False,False
2316.0,RadioRedFox/FoxNN,C++,git,https://github.com/RadioRedFox/FoxNN.git,20.0,10482383,6f1629f46d6dfd2a23ebe52dbc02c9f68a08d0cb,,,False,False
7308.0,bsc-pm/dlb,C,git,https://github.com/bsc-pm/dlb.git,19.0,6031985,a17b7f434cd725cef47cde0cd7c5af652308739a,,,False,False
7363.0,flatironinstitute/SkellySim,C++,git,https://github.com/flatironinstitute/SkellySim.git,19.0,6041985,77fb71c75012353e269ebcb11313877d17a8320a,,,True,False
2943.0,yangyang14641/ParallelProgrammingCourse,C,git,https://github.com/yangyang14641/ParallelProgrammingCourse.git,18.0,8062383,9d36d2fae1d5a42aa4d8d88ee884182ebc3ccd78,,,False,False
6146.0,esa-tu-darmstadt/daphne-benchmark,C++,git,https://github.com/esa-tu-darmstadt/daphne-benchmark.git,18.0,-2798015,6df0108efa43971e89ad105a86a28c0349f5d54d,,,False,False
7398.0,PhasicFlow/PhasicFlowPlus,C++,git,https://github.com/PhasicFlow/PhasicFlowPlus.git,17.0,5861985,0adfb0d7c37166ee934cb22388b54020b77156eb,,,False,False
1614.0,MultithreadCorner/MCBooster,C++,git,https://github.com/MultithreadCorner/MCBooster.git,17.0,5092383,87c6fef6a6105f16f85023b14865e72aed85a727,,,True,False
1544.0,KarypisLab/TriangleCounting,C,git,https://github.com/KarypisLab/TriangleCounting.git,16.0,5402383,7c1a0db20d4dca307bdb32c77d967d24bbca8ef6,,,True,False
2099.0,Obi-Wan/dwt,C++,git,https://github.com/Obi-Wan/dwt.git,15.0,23.03.8313,da1523b6ffe8fbf18cce1cfa2e55f488b2b824df,,,False,False
8055.0,AMDComputeLibraries/OpenMPApps,C,git,https://github.com/AMDComputeLibraries/OpenMPApps.git,14.0,4101985,ffcdb85749f0a445c07993d0e3b3b44ba1d10c83,,,False,False
1692.0,AlbaMustafaj/Parallel-Computing-Projetcs,C,git,https://github.com/AlbaMustafaj/Parallel-Computing-Projetcs.git,14.0,4692383,ddf29edd73e79b8c4f2699ae47541b454838a133,,,False,False
4018.0,Happyxianyueveryday/parallel-programming,C,git,https://github.com/Happyxianyueveryday/parallel-programming.git,14.0,-9698015,3a33e2ee34c1050d31ae80fdf20ab1bc47e06bf8,,,False,False
1669.0,yuanyuxin0077/FD-RTM-FWI-2018.01.31backup,C,git,https://github.com/yuanyuxin0077/FD-RTM-FWI-2018.01.31backup.git,14.0,4842383,ecb6ac25f8c819b5dcfae48dd3c0cae968029e00,,,False,False
5808.0,IBM/openacc-openmp-tutorial,C,git,https://github.com/IBM/openacc-openmp-tutorial.git,14.0,-1728015,0ee493b7408fd4b0ee20d2fc3e54f2fc91d0e7e4,,,False,False
7472.0,kovmir/l2flood,C,git,https://github.com/kovmir/l2flood.git,13.0,5691985,ce24d7987ecbbf69c207a0e3c3cae581e734337e,,,False,False
2766.0,lionell/pagerank,C++,git,https://github.com/lionell/pagerank.git,13.0,8842383,334f6fc21c9b9425ae5fd38eb43790eb5cf2290a,,,False,False
2555.0,arslansadiq/Parallel-Programming-TUM,C,git,https://github.com/arslansadiq/Parallel-Programming-TUM.git,12.0,9532383,1206a685828be412bcae4b8036fb748fe180c6ae,,,False,False
5854.0,jinaojakezhang/FEDFEM,C++,git,https://github.com/jinaojakezhang/FEDFEM.git,12.0,-1938015,57368db0b2bb47216fea36851033da3f3bff639f,,,False,False
1543.0,KarypisLab/K-Truss,C,git,https://github.com/KarypisLab/K-Truss.git,12.0,5402383,42ac2bf5d5407180fa487eb709b8104b45d99301,,,True,False
176.0,robeastham/png-parallel,C++,git,https://github.com/robeastham/png-parallel.git,12.0,5792781,8e9afc5083fffdb413bb60344a00a60cb9368df9,,,False,False
4641.0,ppg-uoi/OMPi,C,git,https://github.com/ppg-uoi/OMPi.git,11.0,-4788015,eb8bf77a3650c26e99e27d3bcbdc056a1886625b,,,False,False
5356.0,conradsnicta/armadillo-gmm,C++,git,https://github.com/conradsnicta/armadillo-gmm.git,11.0,-358015,023ef6752d9aa7aa2e7a1d9ba239dc8e6b0b2034,,,False,False
3501.0,DLopezMadrid/tracerr,C,git,https://github.com/DLopezMadrid/tracerr.git,11.0,-7878015,d8b607e2b02c8acab3a4214409d8cc2fe053288b,,,True,False
4315.0,HxnDev/Password-Cracker-using-Brute-Force-Algorithm,C++,git,https://github.com/HxnDev/Password-Cracker-using-Brute-Force-Algorithm.git,10.0,-3598015,6cd3f24b1cf8246091c49635b354cda6f155a41c,,,False,False
5365.0,Kerber31/Smoothed-Particle-Hydrodynamics,C++,git,https://github.com/Kerber31/Smoothed-Particle-Hydrodynamics.git,10.0,-398015,ac82d839c428a39437bd52f2eb9c3819e6390fdb,,,False,False
3070.0,jrmadsen/madthreading,C++,git,https://github.com/jrmadsen/madthreading.git,10.0,7552383,e8981d61a832565e469bf4ae967d81ac08262ac0,,,True,False
4994.0,wandersonca/HPC-Password-Cracker,C,git,https://github.com/wandersonca/HPC-Password-Cracker.git,10.0,-6008015,685c9dd8565b88f49349354074150a956bbbf096,,,False,False
1861.0,jl2922/omp_hash_map,C++,git,https://github.com/jl2922/omp_hash_map.git,10.0,3942383,45e188063cbd3566889308f1262035eacccc79e2,,,False,False
7996.0,UDC-GAC/pato,C++,git,https://github.com/UDC-GAC/pato.git,9.0,4281985,1232cc9c71fe6b127a96845e34b21a8929e92fb2,,,False,False
4549.0,adharshkamath/Mathy-Compiler,C,git,https://github.com/adharshkamath/Mathy-Compiler.git,9.0,-4518015,0ca27ad85b4a4104f684871b555b2ed1ae9b54c8,,,False,False
1615.0,YSZhuoyang/parallel-random-forests,C++,git,https://github.com/YSZhuoyang/parallel-random-forests.git,9.0,5082383,07cb9a663a8b66d3edc8a33290bcd2c4798d4be8,,,False,False
6557.0,argonne-lcf/HPC-Patterns,C++,git,https://github.com/argonne-lcf/HPC-Patterns.git,9.0,5821985,76ee6ca51f7e1ef6d9b023ef45ca6307643f6fff,,,False,False
7927.0,zakarouf/z_,C,git,https://github.com/zakarouf/z_.git,9.0,4501985,8d9e231d6c34b8a331050e358033d65430934547,,,False,False
5167.0,TheFighters/Smith-Waterman,C,git,https://github.com/TheFighters/Smith-Waterman.git,8.0,-6498015,d841dc1d01f294f1d30b7db9f04d74f285c73be6,,,False,False
5224.0,zygyz/romp,C++,git,https://github.com/zygyz/romp.git,8.0,09.10.2507,4ea4ad5b241bdc1e7ee09337e991449c2483f82c,,,True,False
3159.0,aafulei/cpp-parallel-bellman-ford,C++,git,https://github.com/aafulei/cpp-parallel-bellman-ford.git,8.0,7212383,f0d81928a909f5379a16e356f49f73f43ce8d0f3,,,False,False
